Submission / Ingest / Management;Fast data transfer, ingest and export;The rapidly growing size of data sets requires fast data import/export/transfer e.g. the use of multiple I/O streams for data transfer;7;1,50;2;;1;;;;2;;;;;;
Submission / Ingest / Management;Data and metadata collection with mobile devices;Mobile device can be used as a laboratory notebook to facilitate data management by researchers.;7;2,00;2;;;;;;;;;2;;1;
Integration;Storage drivers;Map from access protocol to storage protocol;4;1,00;1;;1;;;;;;;;;;
Preservation and Sustainability;The repository must be scalable regarding the amount of data;The petabyte level is relevant for the near future, but more will be needed afterwards.;4;1,00;1;;;;;;;;;;1;;
Preservation and Sustainability;Workflows;Register workflows as executable objects, track provenance of each workflow execution;4;1,00;1;;1;;;;;;;;;;
Submission / Ingest / Management;Remote Access Management;Allows an authorized individual the capacity to curate materials from distributed locations;4;1,00;1;;;;;1;;;;;;;
Submission / Ingest / Management;Definable submission/ingest workflow;Allow the submission workflow to be defined by the repository provider.;4;1,00;1;;;;;;1;;;;;;
Submission / Ingest / Management;Provide both single and batch ingest paths;Allows for a range of data types and scales to be submitted with maximum efficiency whether or not one has many files or only one.;3;2,00;1;;;;;2;;;;;;;
Submission / Ingest / Management;Allow product developers to update product information;Gives products that are being developed a working space within the repository;3;2,00;1;;;;;2;;;;;;;
Submission / Ingest / Management;Allow content to be marked for deletion by authorized users;Authorized users should be given control to deem which data can be deleted.;3;2,00;1;;;;;2;;;;;;;
Submission / Ingest / Management;Vocabulary Service;Scientific terms have to be consistent for allowing future reuse;3;2,00;1;;;;2;;;;;;;;
User Experience/User Interface;Allow the creation of special collection views or digital exhibitions;By separating these components it preserves the body of work both within the context of the University and as an entity with special contextual importance. An example is the creation of a holistic view of scholarly activity of researchers, scholars, or collections within a department or other institutional component.;3;2,00;1;;;;;;;2;;;;;
Metadata;Metadata quality evaluation;Enforcement of the quality of metadata records using metrics.;3;2,00;1;;;;;;;;;2;;;
Publication;"Display bibliographic citation for data; ideally, also allow the export of bibliographic data to citation software.";Based on the required descriptive metadata and DOI (see above), the repository platform displays citations for the deposited research data (ideally, in several common styles, e.g. APA, MLA). In addition the repository platform can export the metadata necessary for a citation directly to widely used bibliographic software such as EndNote, Citavi, Zotero, etc.;2;3,00;1;3;;;;;;;;;;;
Publication;Maintain citations linked to the data (e.g. experiments or simulations);Citations provide recognition and updates from experiments/others utilizing the data;2;3,00;1;;;;;3;;;;;;;
Data and product quality;"Capture ""degree of confidence"" on each data item";Provides users with idea of quality and trustworthiness of material in selection process.;1;4,00;1;;;;;4;;;;;;;
Submission / Ingest / Management;Support Staged Content;Staged content includes: submission states that are raw, processed, curated and published;1;4,00;1;;;;;4;;;;;;;
;;;;;;(1 = requirement is very important, 5 = requirement is not at all  important);;;;;;;;;;;
